Geneid	Chr	Start	End	Strand	Length	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S17_S17	S18	S19	S20	S21	S22	S23	S24	S24_S24	S25	S25_S25	S26	S26_S26	S27	S28	S28_S28	S29_S29	S31_S31	S32_S32	S33_S33	gene_name
b0001	NC_000913.3	190	255	+	66	40	46	32	26	43	27	29	22	20	29	10	30	17	32	13	16	31	2	12	22	26	21	19	11	5	8	20	10	9	3	13	15	2	8	33	5	3	thrL
b0002	NC_000913.3	337	2799	+	2463	189	57	163	105	133	135	132	62	58	89	34	83	65	105	48	37	99	26	75	90	53	85	92	45	69	147	35	182	51	54	35	31	161	302	97	45	348	thrA
b0003	NC_000913.3	2801	3733	+	933	43	30	55	44	53	45	57	30	33	26	17	31	27	43	24	17	34	15	23	29	34	41	28	24	15	89	17	151	21	38	31	21	137	330	45	26	193	thrB
b0004	NC_000913.3	3734	5020	+	1287	98	45	67	70	79	81	55	72	53	26	16	50	48	62	33	29	50	13	47	59	49	76	47	24	22	140	33	221	32	47	32	53	138	488	49	21	213	thrC
b0005	NC_000913.3	5234	5530	+	297	4	30	13	4	29	2	25	7	3	25	35	14	17	27	0	2	25	0	2	14	22	15	5	1	3	8	3	9	5	0	12	15	12	22	11	1	9	yaaX
b0006	NC_000913.3	5683	6459	-	777	5	5	15	11	12	10	15	13	8	7	2	20	16	13	10	3	9	5	12	13	12	13	10	4	9	12	16	17	26	11	19	18	19	28	25	7	12	yaaA
b0007	NC_000913.3	6529	7959	-	1431	6	1	3	9	11	4	6	14	6	10	8	6	4	11	6	6	8	2	3	7	13	7	2	2	5	17	13	25	26	12	32	43	32	138	40	7	15	yaaJ
b0008	NC_000913.3	8238	9191	+	954	650	248	588	514	547	620	494	627	590	173	82	608	481	472	1067	856	243	59	218	561	506	486	403	172	274	1020	845	1066	1711	192	1684	2256	2641	4236	488	208	977	talB
b0009	NC_000913.3	9306	9893	+	588	20	13	22	26	35	27	31	23	20	14	6	19	28	33	42	24	13	6	15	40	67	35	27	9	14	29	26	46	93	21	101	110	96	280	39	18	61	mog
b0010	NC_000913.3	9928	10494	-	567	5	21	15	12	30	32	19	49	25	21	22	22	39	23	8	6	21	10	5	32	46	21	13	5	14	102	20	132	62	27	41	56	48	118	21	10	34	satP
b0011	NC_000913.3	10643	11356	-	714	1	1	0	0	0	1	2	1	0	0	1	1	0	1	0	1	0	0	1	2	2	1	0	0	0	2	0	6	1	0	5	5	2	12	2	0	1	yaaW
b0012	NC_000913.3	10830	11315	+	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mbiA
b0013	NC_000913.3	11382	11786	-	405	0	1	3	0	0	1	0	1	1	1	0	1	5	1	0	0	1	1	1	2	1	1	0	0	1	2	1	2	1	1	3	1	4	7	1	0	3	yaaI
b0014	NC_000913.3	12163	14079	+	1917	2842	1094	854	743	1047	487	564	443	545	685	505	1636	1663	1278	1662	838	713	329	583	1084	1306	1265	1365	907	578	2148	1410	6624	2591	927	3758	5156	3756	7970	1638	789	3385	dnaK
b0015	NC_000913.3	14168	15298	+	1131	334	144	142	119	173	147	135	105	142	132	61	221	211	198	278	139	127	43	85	154	190	196	165	157	67	341	188	707	350	120	475	668	680	1011	223	79	470	dnaJ
b0016	NC_000913.3	15445	16557	+	1113	28	22	22	27	24	35	32	39	33	32	7	30	48	21	26	20	22	4	16	28	41	33	25	12	11	52	45	95	64	28	85	101	44	134	33	10	43	insL1
b0018	NC_000913.3	16751	16960	-	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mokC
b4412	NC_000913.3	16751	16903	-	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hokC
b4413	NC_000913.3	16952	17010	+	59	0	0	2	0	1	2	0	1	0	0	0	0	3	0	2	3	2	0	0	0	1	0	1	0	0	1	1	5	3	0	2	5	1	5	0	1	3	sokC
b0019	NC_000913.3	17489	18655	+	1167	194	188	220	152	200	239	122	176	109	148	198	213	168	152	101	207	211	349	143	136	146	116	91	55	42	1632	83	3656	346	986	289	271	2027	529	1509	401	786	nhaA
b0020	NC_000913.3	18715	19620	+	906	18	29	66	26	50	47	33	33	30	39	32	62	41	56	37	30	42	7	31	40	45	48	27	11	14	50	30	60	102	27	86	95	115	112	68	8	69	nhaR
b0021	NC_000913.3	19811	20314	-	504	1	4	2	3	4	8	9	15	10	7	1	7	10	7	1	2	3	0	3	12	11	6	10	2	3	12	65	8	14	1	8	8	4	10	20	7	66	insB1
b0022	NC_000913.3	20233	20508	-	276	0	5	4	4	3	6	10	14	19	0	0	4	4	3	0	3	3	0	2	7	5	5	5	5	5	5	14	5	2	1	3	10	2	6	15	0	17	insA1
b0023	NC_000913.3	20815	21078	-	264	320	347	531	334	721	422	500	443	514	516	231	729	896	1129	329	260	593	17	164	866	1078	841	339	184	195	184	569	174	1287	79	997	1482	152	1022	259	69	247	rpsT
b0024	NC_000913.3	21181	21399	+	219	1	4	1	6	3	6	9	9	4	4	1	2	5	4	3	2	3	2	0	0	6	3	2	1	0	5	5	9	10	5	1	11	6	26	15	4	1	yaaY
b0025	NC_000913.3	21407	22348	+	942	99	54	83	60	86	106	82	89	104	85	30	118	85	97	80	78	54	36	49	136	97	112	48	37	56	216	97	235	157	59	165	193	239	361	121	22	185	ribF
